,Unnamed: 0,시설종류상세명(시설종류),시군구명,시설주소,주소,좌표
0,0,장애인거주시설,노원구,서울특별시 노원구 동일로248길 30(상계1동),서울특별시 노원구 동일로248길,"(37.6801286748985, 127.056138127029)"
1,1,장애인거주시설,노원구,서울특별시 노원구 노원로 18길 41 (하계동 288-1)(하계1동),서울특별시 노원구 노원로,"(37.6438917702914, 127.071433176859)"
2,3,장애인거주시설,동작구,서울특별시 동작구 양녕로30길 19-4(동작구),서울특별시 동작구 양녕로30길,"(37.4991398236072, 126.945311732582)"
3,4,장애인거주시설,서초구,서울특별시 서초구 헌릉로468길 21-16  ,서울특별시 서초구 헌릉로468길,"(37.4583004467832, 127.087801693866)"
4,5,장애인거주시설,노원구,서울특별시 노원구 중계로 163(중계본동),서울특별시 노원구 중계로,"(37.6464614923216, 127.081276382899)"
5,6,장애인거주시설,송파구,서울특별시 송파구 양산로10길 26,서울특별시 송파구 양산로10길,"(37.492183000883, 127.145627135086)"
6,7,장애인거주시설,강동구,서울특별시 강동구 고덕로 295-45(고덕동나동),서울특별시 강동구 고덕로,"(37.5549803761105, 127.153671778224)"
7,8,장애인거주시설,송파구,서울특별시 송파구 양산로8길 17,서울특별시 송파구 양산로8길,"(37.4913171822841, 127.146389624662)"
8,9,장애인거주시설,강동구,서울특별시 강동구 고덕로 295-45(고덕2동),서울특별시 강동구 고덕로,"(37.5549803761105, 127.153671778224)"
9,11,장애인거주시설,용산구,서울특별시 용산구 후암로4길 70(후암동),서울특별시 용산구 후암로4길,"(37.5474998525848, 126.980032341762)"
10,12,장애인거주시설,강동구,서울특별시 강동구 올림픽로 864(암사3동),서울특별시 강동구 올림픽로,"(37.5464322694836, 127.126211884574)"
11,15,장애인거주시설,은평구,서울특별시 은평구 갈현로11길 30,서울특별시 은평구 갈현로11길,"(37.6050288149098, 126.907818277259)"
12,16,장애인거주시설,강남구,서울특별시 강남구 학동로26길 15401호 (논현동),서울특별시 강남구 학동로26길,"(37.5105135077422, 127.029628093611)"
13,19,장애인거주시설,서초구,서울특별시 서초구 방배중앙로 99 (방배동)(방배동),서울특별시 서초구 방배중앙로,"(37.4893098791004, 126.987767934568)"
14,20,장애인거주시설,은평구,서울특별시 은평구 불광로9가길 4302호 (불광동),서울특별시 은평구 불광로9가길,"(37.6168298896503, 126.931220385235)"
15,22,장애인거주시설,중랑구,서울특별시 중랑구 동일로104길 3-3301호,서울특별시 중랑구 동일로104길,"(37.5900067888277, 127.080456680785)"
16,23,장애인거주시설,강서구,서울특별시 강서구 까치산로22길 38-0,서울특별시 강서구 까치산로22길,"(37.5487642421877, 126.852063757965)"
17,24,장애인거주시설,노원구,서울특별시 노원구 중계로8길 39-0211동110호(중계동현대그린아파트),서울특별시 노원구 중계로8길,"(37.6469136670189, 127.085149425387)"
18,25,장애인거주시설,서초구,서울특별시 서초구 남부순환로342길 56-58  ,서울특별시 서초구 남부순환로342길,"(37.4788633055755, 127.027352742182)"
19,27,장애인거주시설,서초구,서울특별시 서초구 염곡안길 19201호,서울특별시 서초구 염곡안길,"(37.4628440564664, 127.052647335845)"
20,28,장애인거주시설,서초구,서울특별시 서초구 염곡안길 19-0302호,서울특별시 서초구 염곡안길,"(37.4628440564664, 127.052647335845)"
21,29,장애인거주시설,서초구,서울특별시 서초구 헌릉로468길 21-16(내곡동),서울특별시 서초구 헌릉로468길,"(37.4583004467832, 127.087801693866)"
22,31,장애인거주시설,강북구,서울특별시 강북구 인수봉로64길 30302호303호(수유동),서울특별시 강북구 인수봉로64길,"(37.6398960410474, 127.014945919368)"
23,32,장애인거주시설,노원구,서울특별시 노원구 중계로 163-0(중계본동),서울특별시 노원구 중계로,"(37.6464614923216, 127.081276382899)"
24,33,장애인거주시설,노원구,서울특별시 노원구 동일로248길 30,서울특별시 노원구 동일로248길,"(37.6801286748985, 127.056138127029)"
25,34,장애인거주시설,은평구,서울특별시 은평구 갈현로 15길 27-1 (구산동 산61-8번지),서울특별시 은평구 갈현로,"(37.613490231972, 126.911530277114)"
26,35,장애인거주시설,강동구,서울특별시 강동구 상암로 369-0(상일동),서울특별시 강동구 상암로,"(37.5465495715747, 127.146577455573)"
27,36,장애인거주시설,은평구,서울특별시 은평구 갈현로11길 30은평기쁨의집,서울특별시 은평구 갈현로11길,"(37.6050288149098, 126.907818277259)"
28,37,장애인거주시설,은평구,서울특별시 은평구 갈현로11길 46101동 303호 (구산동 경남 아너스빌),서울특별시 은평구 갈현로11길,"(37.6050288149098, 126.907818277259)"
29,38,장애인거주시설,성북구,서울특별시 성북구 개운사길 76-1(안암동),서울특별시 성북구 개운사길,"(37.5883952849144, 127.029247597138)"
30,40,장애인거주시설,관악구,서울특별시 관악구 법원단지길 97-3,서울특별시 관악구 법원단지길,"(37.4741992909179, 126.92149395834)"
31,41,장애인거주시설,강북구,서울특별시 강북구 삼양로73가길 47삼양로73가길 47,서울특별시 강북구 삼양로73가길,"(37.6284355893184, 127.015679629906)"
32,42,장애인거주시설,강북구,서울특별시 강북구 삼양로91가길 8 (수유동 js홈타운) 2동 302 401 402호,서울특별시 강북구 삼양로91가길,"(37.6364228015596, 127.015884221408)"
33,43,장애인거주시설,서초구,서울특별시 서초구 신반포로43길 154층401호 (잠원동 동양텔)(잠원동 동양텔),서울특별시 서초구 신반포로43길,"(37.5112149174588, 127.01756046887)"
34,44,장애인거주시설,서대문구,서울특별시 서대문구 가재울로6길 16101동 301호 (남가좌동),서울특별시 서대문구 가재울로6길,"(37.5758532351698, 126.92328568492)"
35,45,장애인거주시설,서대문구,서울특별시 서대문구 연희로41길 61-061  가동 201호302호,서울특별시 서대문구 연희로41길,"(37.5925789860917, 126.934640954971)"
36,46,장애인거주시설,강북구,서울특별시 강북구 덕릉로12길 13(수유동),서울특별시 강북구 덕릉로12길,"(37.6335695044252, 127.016297582029)"
37,47,장애인거주시설,강동구,서울특별시 강동구 동남로85길 153층,서울특별시 강동구 동남로85길,"(37.5607099222486, 127.154209498216)"
38,48,장애인거주시설,강동구,서울특별시 강동구 동남로85길 154층,서울특별시 강동구 동남로85길,"(37.5607099222486, 127.154209498216)"
39,49,장애인거주시설,강동구,서울특별시 강동구 동남로85길 152층,서울특별시 강동구 동남로85길,"(37.5607099222486, 127.154209498216)"
40,50,장애인거주시설,노원구,서울특별시 노원구 동일로237바길 8301호 (상계동),서울특별시 노원구 동일로237바길,"(37.6742448608594, 127.050703946328)"
41,51,장애인거주시설,노원구,서울특별시 노원구 한글비석로24바길 98지성리치빌 201호,서울특별시 노원구 한글비석로24바길,"(37.6651430555462, 127.071736886996)"
42,52,장애인거주시설,노원구,서울특별시 노원구 동일로193길 8-0701호,서울특별시 노원구 동일로193길,"(37.6258869594988, 127.071533867702)"
43,53,장애인거주시설,노원구,서울특별시 노원구 동일로191가길 26-0남청파인힐 101동 203호,서울특별시 노원구 동일로191가길,"(37.6268732605441, 127.07095186609)"
44,54,장애인거주시설,도봉구,서울특별시 도봉구 도봉로137길 462층(쌍문동),서울특별시 도봉구 도봉로137길,"(37.6603278733403, 127.039893791133)"
45,55,장애인거주시설,도봉구,서울특별시 도봉구 시루봉로23길 64301호,서울특별시 도봉구 시루봉로23길,"(37.6733284449112, 127.041310057395)"
46,56,장애인거주시설,도봉구,서울특별시 도봉구 평화로15번길 9-25(도봉구),서울특별시 도봉구 평화로15번길,"(37.6936223471179, 127.044518374744)"
47,57,장애인거주시설,노원구,서울특별시 노원구 노원로18길 41하계동,서울특별시 노원구 노원로18길,"(37.6438254841186, 127.073444770883)"
48,58,장애인거주시설,은평구,서울특별시 은평구 갈현로15길 24-5301호,서울특별시 은평구 갈현로15길,"(37.6087696499915, 126.907379557778)"
49,59,장애인거주시설,은평구,서울특별시 은평구 증산로19길 28-82층,서울특별시 은평구 증산로19길,"(37.5950257969757, 126.912620836806)"
50,60,장애인거주시설,관악구,서울특별시 관악구 봉천로13길 29-28201호,서울특별시 관악구 봉천로13길,"(37.4906523647883, 126.931530963399)"
51,61,장애인거주시설,관악구,서울특별시 관악구 국회단지21길 13301호,서울특별시 관악구 국회단지21길,"(37.4902036197121, 126.941511696936)"
52,62,장애인거주시설,강동구,서울특별시 강동구 양재대로91나길 37301호,서울특별시 강동구 양재대로91나길,"(37.5263422507045, 127.131552463843)"
53,63,장애인거주시설,강동구,서울특별시 강동구 양재대로 1414-8301호,서울특별시 강동구 양재대로,"(37.5459585234695, 127.143045400564)"
54,64,장애인거주시설,송파구,서울특별시 송파구 토성로5길 16-1201호,서울특별시 송파구 토성로5길,"(37.5315743592446, 127.11368031682)"
55,65,장애인거주시설,은평구,서울특별시 은평구 연서로37길 21-5,서울특별시 은평구 연서로37길,"(37.6237139317668, 126.926659864615)"
56,66,장애인거주시설,강동구,서울특별시 강동구 구천면로39길 122층 (천호동),서울특별시 강동구 구천면로39길,"(37.545644710567, 127.131977338406)"
57,67,장애인거주시설,마포구,서울특별시 마포구 월드컵북로12길 98 (성산동),서울특별시 마포구 월드컵북로12길,"(37.5634455230744, 126.915351208006)"
58,68,장애인거주시설,노원구,서울특별시 노원구 중계로 163천애재활원 1층 ,서울특별시 노원구 중계로,"(37.6464614923216, 127.081276382899)"
59,69,장애인거주시설,금천구,서울특별시 금천구 시흥대로80길 19-11,서울특별시 금천구 시흥대로80길,"(37.4590253015126, 126.900798261023)"
60,70,장애인거주시설,구로구,서울특별시 구로구 중앙로5길 62-0 104동 902호,서울특별시 구로구 중앙로5길,"(37.5010290222015, 126.861213529733)"
61,71,장애인거주시설,구로구,서울특별시 구로구 고척로52라길 19-7201호 (개봉동),서울특별시 구로구 고척로52라길,"(37.502407523692, 126.854518577247)"
62,72,장애인거주시설,중구,서울특별시 중구 동호로15가길 373층 (신당동),서울특별시 중구 동호로15가길,"(37.5551905070877, 127.00757726989)"
63,73,장애인거주시설,양천구,서울특별시 양천구 오목로46길 17202호 (신정동)(신정동 예미담),서울특별시 양천구 오목로46길,"(37.5239571637963, 126.861857853879)"
64,74,장애인거주시설,양천구,서울특별시 양천구 목동중앙서로9길 20-0한강베스트빌401호,서울특별시 양천구 목동중앙서로9길,"(37.5336332112216, 126.866574477684)"
65,75,장애인거주시설,강동구,서울특별시 강동구 구천면로 2222층 (천호동)(천호동),서울특별시 강동구 구천면로,"(37.5504163754268, 127.138601529782)"
66,76,장애인거주시설,구로구,서울특별시 구로구 고척로12길 15-4 (오류동),서울특별시 구로구 고척로12길,"(37.4988942590658, 126.842725580891)"
67,77,장애인거주시설,동대문구,서울특별시 동대문구 사가정로25길 294층 (장안동),서울특별시 동대문구 사가정로25길,"(37.5802818912079, 127.070651206579)"
68,79,장애인거주시설,영등포구,서울특별시 영등포구 도신로 146-3 1층(신길동)101102호,서울특별시 영등포구 도신로,"(37.5088228444934, 126.906189160481)"
