기관명,주소,병원분류명,병원경도,병원위도
(학)고려대학교의과대학부속병원(안암병원),서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),종합병원,127.0264708638597,37.58715608002366
가톨릭대학교여의도성모병원,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),종합병원,126.9367312959913,37.51827233800711
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),종합병원,126.9161504873969,37.63360840972685
재단법인베스티안재단베스티안서울병원,서울특별시 강남구 도곡로 429 (대치동 베스티안병원 2층일부 제외),종합병원,127.0572671088355,37.49807126965969
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),종합병원,126.9005625186388,37.45567063464179
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),종합병원,127.1575217982228,37.55347640402066
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),종합병원,126.967938054517,37.56849763123383
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),종합병원,127.0721229093036,37.54084479467721
경찰병원,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),종합병원,127.123487935032,37.49641321356079
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),종합병원,127.051832233903,37.5938765502235
고려대학교의과대학부속구로병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),종합병원,126.8847449363546,37.49211114525054
구로성심병원,서울특별시 구로구 경인로 427 구로성심병원 (고척동),종합병원,126.8663603955648,37.49964578669388
국립중앙의료원,서울특별시 중구 을지로 245 (을지로6가),종합병원,127.0057953970547,37.56733955813183
노원을지대학교병원,서울특별시 노원구 한글비석로 68 을지병원 (하계동),종합병원,127.0700028199138,37.63644292738675
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),종합병원,127.0860554696936,37.58362083896108
대림성모병원,서울특별시 영등포구 시흥대로 657 (대림동 대림성모병원),종합병원,126.9071694802514,37.49068925436284
명지성모병원,서울특별시 영등포구 도림로 156 명지성모병원 (대림동),종합병원,126.8992544692259,37.4938507104387
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),종합병원,126.8360253515624,37.55225379358291
부민병원,서울특별시 강서구 공항대로 389 부민병원 (등촌동),종합병원,126.8509495053918,37.55694089289359
