,역명,좌표,행정구,지하철합계
0,가락시장,"(37.4927440321316, 127.118485741487)",송파구,128209
1,가산디지털단지,"(37.4815957375443, 126.882559483336)",금천구,181287
2,강남,"(37.4981646510326, 127.028307900881)",강남구,235951
3,강남구청,"(37.5171892352971, 127.04130142966)",강남구,54553
4,강동,"(37.5355205088294, 127.133529582127)",강동구,131344
5,강동구청,"(37.5306740877124, 127.12057605164)",강동구,73635
6,강변(동서울터미널),"(37.5351692767888, 127.094664569096)",광진구,131614
7,강일,"(37.5575265973614, 127.175938009116)",강동구,40806
8,개롱,"(37.4978146566399, 127.135158595127)",송파구,59429
9,개화산,"(37.572270024754, 126.806001672732)",강서구,63776
10,거여,"(37.4932073280335, 127.144032331306)",송파구,82339
11,건대입구,"(37.5408416053893, 127.07104643853)",광진구,225985
12,경복궁(정부서울청사),"(37.5758613027702, 126.973062710191)",종로구,104462
13,경찰병원,"(37.4956031419934, 127.124067847413)",송파구,46146
14,고덕,"(37.5550473189056, 127.15394941502)",강동구,71252
15,고려대(종암),"(37.590649686622, 127.036284948669)",성북구,50871
16,고속터미널,"(37.5049267445237, 127.004949918697)",서초구,257609
17,공덕,"(37.543526917067, 126.951947569181)",마포구,142809
18,공릉(서울과학기술대),"(37.6254769202851, 127.073005201049)",노원구,101165
19,광나루(장신대),"(37.5452786641598, 127.103686533578)",광진구,68163
20,광명사거리,"(37.4793355805984, 126.854703171044)",광명시,190540
21,광화문(세종문화회관),"(37.5716228232824, 126.976787992565)",종로구,118992
22,광흥창(서강),"(37.5474860706906, 126.931939240491)",마포구,47910
23,구로디지털단지,"(37.4853149237865, 126.901494378412)",구로구,261354
24,구산,"(37.6112122196295, 126.917182386796)",은평구,62474
25,구의(광진구청),"(37.5371535596228, 127.086179228767)",광진구,145522
26,구파발,"(37.6368417889316, 126.918745426412)",은평구,140672
27,군자(능동),"(37.5573631939521, 127.079017279019)",광진구,169945
28,굽은다리(강동구민회관앞),"(37.5457314720664, 127.142970847846)",강동구,83996
29,금호,"(37.5481125196986, 127.015893753726)",성동구,48741
30,길동,"(37.5378115570072, 127.13999920444)",강동구,83588
31,길음,"(37.603183910563, 127.024823216768)",성북구,130835
32,김포공항,"(37.562313207852, 126.801278424065)",강서구,58041
33,까치산,"(37.5319560847746, 126.846611592059)",강서구,212549
34,낙성대(강감찬),"(37.4770651843603, 126.963409959152)",관악구,135700
35,남구로,"(37.4861618372855, 126.887341021559)",구로구,98654
36,남부터미널(예술의전당),"(37.48514016604, 127.016207055102)",서초구,127602
37,남성,"(37.4844433924857, 126.971706096071)",동작구,74437
38,남위례,"(37.4631031217002, 127.139274613689)",성남시,25760
39,남태령,"(37.4648575576518, 126.988656544337)",서초구,7790
40,남한산성입구(성남법원.검찰청),"(37.4515683423116, 127.159802461468)",성남시,114105
41,내방,"(37.487533528504, 126.993190309509)",서초구,63081
42,노원,"(37.6546947161168, 127.060517410251)",노원구,318993
43,녹번,"(37.6007421809861, 126.936019442532)",은평구,92186
44,녹사평(용산구청),"(37.5348314193581, 126.987028473368)",용산구,20579
